index,Date,Adj Close,Close,High,Low,Open,Volume,SMA10,SMA50,RSI,MACD,ADX,BB_Upper,BB_Lower,Bollinger_Width,EMA20,VWAP,Lagged_Return,Volatility,Close_unscaled,SMA10_unscaled,SMA50_unscaled,RSI_unscaled,MACD_unscaled,ADX_unscaled,BB_Upper_unscaled,BB_Lower_unscaled,Bollinger_Width_unscaled,EMA20_unscaled,VWAP_unscaled,Lagged_Return_unscaled,Volatility_unscaled
,,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018-01-01,204.71456909179688,-0.4396116035554986,266.29998779296875,261.25,263.25,10461011,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-0.02680075662546827,-3.318448721459486,262.29998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-01-02,203.50485229492188,-0.45535262350439193,264.20001220703125,260.45001220703125,262.6000061035156,5688384,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-0.4046760760609328,-3.318448721459486,260.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005909217937867917,0.0
2,2018-01-03,203.8170623779297,-0.4512904548005104,262.6499938964844,260.6000061035156,261.29998779296875,11018996,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,0.07129440050825073,-3.318448721459486,261.1499938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001534013025827008,0.0
3,2018-01-04,204.1292266845703,-0.4472282860966288,262.75,260.6000061035156,260.95001220703125,9368913,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,0.07114415174299764,-3.318448721459486,261.54998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015316634341677737,0.0
4,2018-01-05,205.18287658691406,-0.4335181955378733,263.5,261.8999938964844,261.8999938964844,9211954,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,0.3032642991690556,-3.318448721459486,262.8999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005161560567856771,0.0
5,2018-01-08,207.2901153564453,-0.40609801442036225,266.79998779296875,263.25,264.0,14433239,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,0.6299395500931053,-3.318448721459486,265.6000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010270111334024445,0.0
6,2018-01-09,211.15335083007812,-0.3558280956030666,272.0,264.75,265.5,25737663,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,1.164973586535706,-3.318448721459486,270.54998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018636978824179362,0.0
7,2018-01-10,210.25584411621094,-0.3675069468480784,274.0,269.04998779296875,273.45001220703125,16441299,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-0.29861144881017293,-3.318448721459486,269.3999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004250578260474258,0.0
8,2018-01-11,210.56802368164062,-0.3634447781441968,271.0,268.1000061035156,269.5,11287437,-3.024820963874383,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,0.06814472519382889,-3.318448721459486,269.79998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014847583724819646,0.0
9,2018-01-12,208.81201171875,-0.38629482576758734,271.3500061035156,266.1499938964844,270.25,8179762,-0.3844527490399348,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-0.5600854423174083,-3.318448721459486,267.54998779296875,265.1549926757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008339511126021715,0.0
10,2018-01-15,208.85104370117188,-0.38578686097734843,271.1000061035156,267.0,268.0,10538330,-0.3791750811582218,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-0.014845948696700207,-3.318448721459486,267.6000061035156,265.68499450683595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018694940321051234,0.0
11,2018-01-16,204.246337890625,-0.445704701649518,268.70001220703125,260.79998779296875,268.20001220703125,12935712,-0.3782290751977694,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,-1.436686643410555,-3.318448721459486,261.70001220703125,265.7799957275391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02204780927472061,0.0
12,2018-01-17,207.64129638671875,-0.4015281908498477,267.0,259.54998779296875,262.0,16375659,-0.37334974480817384,-2.7282019943419136,-3.8568629222876254,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-2.996746716899925,1.0361217338540964,-3.318448721459486,266.04998779296875,266.2699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016621992292825016,0.0
13,2018-01-18,213.37770080566406,-0.32688463996205075,275.25,266.6499938964844,268.0,26442702,-0.3615497107429748,-2.7282019943419136,1.2361477246938948,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.36075228042820423,1.7398185657528695,-0.7407629189042219,273.3999938964844,267.4549957275391,0.0,67.89869109510884,0.0,0.0,0.0,0.0,0.0,0.0,266.8275738219808,0.027626410226468945,4.842860630580357
14,2018-01-19,214.27520751953125,-0.31520578871703897,277.5,271.1000061035156,276.0,25710521,-0.34994884542383514,-2.7282019943419136,1.3483496030900644,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.34951466120524394,0.2421764968283645,-0.6815623669638772,274.54998779296875,268.6199951171875,0.0,69.3945373066277,0.0,0.0,0.0,0.0,0.0,0.0,267.9650977223769,0.004206268917912981,4.954084435287787
15,2018-01-22,213.57281494140625,-0.324345745781674,275.5,271.70001220703125,275.0,8339156,-0.34193280481156246,-2.7282019943419136,1.1516507703650083,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.34557311456152134,-0.23642265768094353,-0.7254398947990555,273.6499938964844,269.42499389648435,0.0,66.77219971346312,0.0,0.0,0.0,0.0,0.0,0.0,268.3640793414195,-0.003278069337096623,4.871648960836427
16,2018-01-23,215.87515258789062,-0.2943866704837862,277.25,273.54998779296875,274.0,18244388,-0.33590829971545516,-2.7282019943419136,1.4449875967908836,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.3357673095603524,0.662560529367832,-0.7699842790323411,276.6000061035156,270.0299957275391,0.0,70.6828898621504,0.0,0.0,0.0,0.0,0.0,0.0,269.35666837030055,0.010780238526689523,4.7879606212789145
17,2018-01-24,219.66038513183594,-0.2451320613997565,282.0,276.04998779296875,276.6499938964844,17305234,-0.323909096904198,-2.7282019943419136,1.8242029971362308,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.3244377084156389,1.0944651564020065,-0.7258043127018736,281.45001220703125,271.23499755859376,0.0,75.73849078492032,0.0,0.0,0.0,0.0,0.0,0.0,270.5035031071223,0.017534367304751663,4.87096430597551
18,2018-01-25,219.50430297851562,-0.2471633007135003,283.20001220703125,278.6000061035156,281.0,13124518,-0.3125073699422326,-2.7282019943419136,1.781024558853016,-0.14903062224427338,-2.508620845572323,-3.0075210155257865,-2.8591424514263806,-1.5798066317236703,-2.9466841548757934,-0.31525404962682146,-0.07224446352417466,-0.736105855601014,281.25,272.3799987792969,0.0,75.16284709473899,0.0,0.0,0.0,0.0,0.0,0.0,271.43311561294723,-0.0007106491325504782,4.851610148656946
19,2018-01-29,215.13372802734375,-0.3040345923386602,283.29998779296875,275.0,281.1499938964844,9569723,-0.30444152194900304,-2.7282019943419136,0.7298883955982233,-0.14903062224427338,-2.508620845572323,-0.316388886144991,-0.31718342399676386,0.015038988779825785,-0.30057447423214084,-0.3084174722436432,-1.3000531143748733,-0.6050022022965018,275.6499938964844,273.18999938964845,0.0,61.149373612205736,0.0,0.0,282.02817801425425,256.3168140511754,9.552002653329751,270.94423295036336,272.1251456609474,-0.01991113281250001,5.097922837536361
20,2018-01-30,214.78250122070312,-0.3086044159091747,276.45001220703125,271.95001220703125,275.0,13057276,-0.2968735654320362,-2.7282019943419136,0.6570621461957394,-0.14903062224427338,-2.508620845572323,-0.3116693003021316,-0.30929529768761677,-0.0073862993873884475,-0.29661609203696865,-0.3032147966832609,-0.13118990980898004,-0.6277345931425344,275.20001220703125,273.95,0.0,60.178473028142506,0.0,0.0,282.5227862803113,257.1122082265246,9.417690962391735,271.3495452605222,272.65178459384964,-0.0016324385975575728,5.055214063426621
21,2018-01-31,211.8167724609375,-0.34719579340506457,276.0,269.8500061035156,273.8999938964844,18945945,-0.2872144890258736,-2.7282019943419136,0.08750684119185156,-0.14903062224427338,-2.508620845572323,-0.3131801474559783,-0.2971631755238932,-0.09581354059597878,-0.296569168789704,-0.30200530421274074,-0.9097907060676785,-0.5861122273570667,271.3999938964844,274.9199981689453,0.0,52.58531008453875,0.0,0.0,282.3644508848079,258.3355430116764,8.888074031579068,271.3543498925186,272.77421502731323,-0.013808205457811362,5.133412622930746
