index,Date,Adj Close,Close,High,Low,Open,Volume,SMA10,SMA50,RSI,MACD,ADX,BB_Upper,BB_Lower,Bollinger_Width,EMA20,VWAP,Lagged_Return,Volatility,Close_unscaled,SMA10_unscaled,SMA50_unscaled,RSI_unscaled,MACD_unscaled,ADX_unscaled,BB_Upper_unscaled,BB_Lower_unscaled,Bollinger_Width_unscaled,EMA20_unscaled,VWAP_unscaled,Lagged_Return_unscaled,Volatility_unscaled
,,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018-01-01,508.8475036621094,-1.0315648205656098,554.5999755859375,540.0,554.5999755859375,6630,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,-0.046248800266975164,-1.7701628787984982,544.8499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-01-02,504.69171142578125,-1.0375645639946,557.5,538.0999755859375,538.0999755859375,14937,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,-0.4640790139611761,-1.7701628787984982,540.4000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008167296267361457,0.0
2,2018-01-03,510.9955749511719,-1.0284637297199128,551.0,540.0,544.0999755859375,14820,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,0.5927645684081716,-1.7701628787984982,547.1500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012490747030070581,0.0
3,2018-01-04,515.4317626953125,-1.0220594389340216,554.0,543.0,544.5499877929688,11794,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,0.3978797762873377,-1.7701628787984982,551.9000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008681348420091384,0.0
4,2018-01-05,519.9612426757812,-1.0155203538904816,559.9500122070312,540.0,552.0999755859375,15033,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,0.4033246649579436,-1.7701628787984982,556.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008787779256010264,0.0
5,2018-01-08,513.8907470703125,-1.0242841202290693,560.0,550.0,560.0,64520,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,-0.6435242474460072,-1.7701628787984982,550.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011674898967220515,0.0
6,2018-01-09,518.37353515625,-1.0178124323143536,559.5,550.0,550.0,26619,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,0.4000252278459015,-1.7701628787984982,555.0499877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00872328540294176,0.0
7,2018-01-10,518.6537475585938,-1.0174079672494294,559.0,554.5,556.0,9875,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,-0.018598935177350995,-1.7701628787984982,555.3499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005404698667981211,0.0
8,2018-01-11,518.3269653320312,-1.0178798294431781,559.0,552.5,559.0,75052,-1.7497442217680326,-1.6808220558684366,-3.994086668007034,-0.1602232534410076,-2.5349581334487383,-1.7295719936978649,-1.7270177497111883,-1.707734504860336,-1.7339646687925858,-1.7445382343167057,-0.07848861395566588,-1.7701628787984982,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000630189252404767,0.0
