,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,279.6000061035156,281.0,277.45001220703125,278.45001220703125,265.6998291015625,102143
1,2018-01-02,278.45001220703125,320.8999938964844,278.45001220703125,309.1499938964844,294.99407958984375,4394623
2,2018-01-03,311.95001220703125,315.0,298.1000061035156,302.0,288.1714782714844,776619
3,2018-01-04,303.79998779296875,303.79998779296875,293.0,294.3999938964844,280.9194641113281,281439
4,2018-01-05,296.3999938964844,314.29998779296875,296.3500061035156,302.6000061035156,288.7440185546875,845611
5,2018-01-08,305.3999938964844,311.25,304.04998779296875,304.95001220703125,290.9864196777344,269317
6,2018-01-09,306.70001220703125,314.79998779296875,304.1499938964844,310.5,296.2822570800781,691186
7,2018-01-10,312.5,312.5,301.8999938964844,303.79998779296875,289.88897705078125,244439
8,2018-01-11,305.0,318.3999938964844,302.25,312.1000061035156,297.8089599609375,1038082
9,2018-01-12,316.20001220703125,323.5,305.1000061035156,310.04998779296875,295.85284423828125,842149
10,2018-01-15,312.0,314.5,308.0,308.8999938964844,294.7555236816406,181383
11,2018-01-16,309.0,314.0,303.25,305.20001220703125,291.2249755859375,313933
12,2018-01-17,305.8999938964844,305.8999938964844,295.0,298.75,285.07025146484375,444565
13,2018-01-18,301.20001220703125,309.0,292.1000061035156,294.29998779296875,280.8240966796875,240476
14,2018-01-19,295.8999938964844,295.95001220703125,285.70001220703125,289.70001220703125,276.4347229003906,238524
15,2018-01-22,290.3999938964844,290.70001220703125,284.3999938964844,286.95001220703125,273.81060791015625,94238
16,2018-01-23,287.8999938964844,293.5,287.0,290.45001220703125,277.1503601074219,113790
17,2018-01-24,290.79998779296875,290.79998779296875,284.0,285.25,272.1884765625,103625
18,2018-01-25,287.0,291.20001220703125,282.1000061035156,284.1499938964844,271.1388244628906,66743
19,2018-01-29,286.5,293.79998779296875,278.45001220703125,279.75,266.9403381347656,580784
20,2018-01-30,282.75,284.04998779296875,267.0,268.8500061035156,256.53936767578125,204529
21,2018-01-31,265.0,269.0,263.0,264.1000061035156,252.00689697265625,126011
22,2018-02-01,267.70001220703125,267.79998779296875,260.1000061035156,261.3999938964844,249.43055725097656,140606
23,2018-02-02,258.0,260.79998779296875,248.0,249.8000030517578,238.36172485351562,240071
24,2018-02-05,240.0,247.9499969482422,235.1999969482422,246.6999969482422,235.40365600585938,693786
25,2018-02-06,235.0,263.0,230.0,256.0,244.27781677246094,501962
26,2018-02-07,267.3999938964844,269.8999938964844,259.1499938964844,261.5,249.52598571777344,219361
27,2018-02-08,263.45001220703125,264.0,256.8999938964844,259.8500061035156,247.95150756835938,158755
28,2018-02-09,249.6999969482422,259.0,243.1999969482422,254.1999969482422,242.56024169921875,133338
29,2018-02-12,255.1999969482422,260.70001220703125,253.5,254.10000610351562,242.46482849121094,168991
30,2018-02-14,256.0,259.04998779296875,248.0,252.35000610351562,240.79495239257812,193123
31,2018-02-15,254.8000030517578,254.9499969482422,239.5,243.89999389648438,232.73184204101562,175980
32,2018-02-16,245.8000030517578,247.5,237.0,241.14999389648438,230.1077880859375,191607
33,2018-02-19,244.10000610351562,244.10000610351562,234.10000610351562,235.0,224.23941040039062,144972
34,2018-02-20,235.8000030517578,240.0,231.0,232.9499969482422,222.28326416015625,170487
